X;Y;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
-58.4467630017937;-34.5689919915472;173;PALPA;CABILDO AV;;ENTRE PALPA Y AGUILAR;SI;59 - 60 - 152;;METROBUS NORTE - AV CABILDO
-58.4444956007118;-34.5701007872381;174;OLLEROS;CABILDO AV;;ENTRE OLLEROS Y AV FEDERIZO LACROZE;SI;68 - 161;;METROBUS NORTE - AV CABILDO
-58.4430448924825;-34.5709273552929;175;GOROSTIAGA;CABILDO AV;;ENTRE GOROSTIAGA Y OLLEROS;SI;;41 - 60 - 67 - 68 - 152 - 161;METROBUS NORTE - AV CABILDO
-58.4422402991584;-34.5713305367153;176;MAURE;CABILDO AV;;ENTRE MAURE Y GOROSTIAGA;SI;;57 - 194;METROBUS NORTE - AV CABILDO
-58.4412040781638;-34.5718143349533;177;JORGE NEWBERY;CABILDO AV;;ENTRE JORGE NEWBERY Y MAURE;SI;41 - 60 - 67 - 68 - 152 - 161;;METROBUS NORTE - AV CABILDO
-58.4402531609049;-34.5723384714251;178;MATIENZO;CABILDO AV;;ENTRE BENJAMIN MATIENZO Y JORGE NEWBERY;SI;57 - 194;;METROBUS NORTE - AV CABILDO
-58.4247661436602;-34.5789242267296;179;ORO;SANTA FE AV;;ENTRE FRAY JUSTO SANTAMARIA DE ORO Y GODOY CRUZ;SI;59 - 68 - 152 - 161;;CENTRO DE TRANSBORDO PACIFICO
-58.4238861291369;-34.5794562661122;180;DARREGUEYRA;SANTA FE AV;;ENTRE DARREGUEYRA Y FRAY JUSTO SANTAMARIA DE ORO;SI;29 - 39 - 41 - 64 - 67 - 93;;CENTRO DE TRANSBORDO PACIFICO
-58.4232305179398;-34.5799004664801;181;URIARTE;SANTA FE AV;;ENTRE URIARTE Y DARREGUEYRA;SI;108 - 111 - 118;;CENTRO DE TRANSBORDO PACIFICO
-58.4228111621891;-34.5801786972215;182;URIARTE;SANTA FE AV;;ENTRE URIARTE Y DARREGUEYRA;SI;12 - 95 - 194;;CENTRO DE TRANSBORDO PACIFICO
-58.4222263710933;-34.5806717515867;184;THAMES;SANTA FE AV;;ENTRE URIARTE Y THAMES;SI;;55 - 160;CENTRO DE TRANSBORDO PACIFICO
-58.4226693636405;-34.580364228838;185;URIARTE;SANTA FE AV;;ENTRE URIARTE Y DARREGUEYRA;SI;;60 - 93;CENTRO DE TRANSBORDO PACIFICO
-58.4230828231882;-34.5800713457806;186;URIARTE;SANTA FE AV;;ENTRE URIARTE Y DARREGUEYRA;SI;;59 - 108 - 118;CENTRO DE TRANSBORDO PACIFICO
-58.4238565633978;-34.579549045739;187;DARREGUEYRA;SANTA FE AV;;ENTRE DARREGUEYRA Y FRAY JUSTO SANTAMARIA DE ORO;SI;;12 - 15 - 29 - 95 - 111;CENTRO DE TRANSBORDO PACIFICO
-58.4247720126444;-34.5790023666932;188;ORO;SANTA FE AV;;ENTRE FRAY JUSTO SANTAMARIA DE ORO Y GODOY CRUZ;SI;;39 - 152;CENTRO DE TRANSBORDO PACIFICO
